Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Nino  Farina  FAR,ITA,Alfa Romeo,30,
,2,Juan Manuel  Fangio  FAN,ARG,Alfa Romeo,27,
,3,Luigi  Fagioli  FAG,ITA,Alfa Romeo,24,
,4,Louis Rosier  ROS,FRA,Talbot-Lago,13,
,5,Alberto  Ascari  ASC,ITA,Ferrari,11,
,6,Johnnie Parsons  PAR,USA,Kurtis Kraft Offenhauser,9,
,7,Bill  Holland  HOL,USA,Deidt Offenhauser,6,
,8,Prince  Bira  BIR,THA,Maserati,5,
,9,Reg Parnell  PAR,GBR,Maserati,4,
,9,Louis Chiron  CHI,MON,Maserati,4,
,9,Mauri Rose  ROS,USA,Deidt Offenhauser,4,
,9,Peter Whitehead  WHI,GBR,Ferrari,4,
,13,Yves Giraud  Cabantous  CAB,FRA,Talbot-Lago,3,
,13,Raymond Sommer  SOM,FRA,Talbot-Lago,3,
,13,Cecil Green  GRE,USA,Kurtis Kraft Offenhauser,3,
,13,Robert Manzon  MAN,FRA,Simca-Gordini,3,
,13,Dorino Serafini  SER,ITA,,3,
,13,Philippe Etancelin  ETA,FRA,,3,
,19,Felice Bonetto  BON,ITA,Maserati Milano,2,
,20,Tony Bettenhausen  BET,USA,Deidt Offenhauser,1,
,20,Joie Chitwood  CHI,USA,Kurtis Kraft Offenhauser,1,
,20,Eugene Chaboud  CHA,FRA,,1,
