Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Jacques  Villeneuve  VIL,CAN,Williams Renault,81,
,DQ,Michael  Schumacher  MSC,GER,Ferrari,78,
,2,Heinz-Harald  Frentzen  FRE,GER,Williams Renault,42,
,3,David  Coulthard  COU,GBR,McLaren Mercedes,36,
,4,Jean  Alesi  ALE,FRA,Benetton Renault,36,
,5,Gerhard  Berger  BER,AUT,Benetton Renault,27,
,6,Mika  Hakkinen  HAK,FIN,McLaren Mercedes,27,
,7,Eddie  Irvine  IRV,GBR,Ferrari,24,
,8,Giancarlo  Fisichella  FIS,ITA,Jordan Peugeot,20,
,9,Olivier  Panis  PAN,FRA,Prost Mugen Honda,16,
,10,Johnny  Herbert  HER,GBR,Sauber Petronas,15,
,11,Ralf  Schumacher  RSC,GER,Jordan Peugeot,13,
,12,Damon  Hill  HIL,GBR,Arrows Yamaha,7,
,13,Rubens  Barrichello  BAR,BRA,Stewart Ford,6,
,14,Alexander  Wurz  WUR,AUT,Benetton Renault,4,
,15,Jarno  Trulli  TRU,ITA,Prost Mugen Honda,3,
,16,Mika  Salo  SAL,FIN,Tyrrell Ford,2,
,17,Pedro  Diniz  DIN,BRA,Arrows Yamaha,2,
,18,Shinji  Nakano  NAK,JPN,Prost Mugen Honda,2,
,19,Nicola  Larini  LAR,ITA,Sauber Petronas,1,
