Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Austria,Lando  Norris  NOR,McLaren Renault,1:07.475,
,Styria,Carlos  Sainz  SAI,McLaren Renault,1:05.619,
,Hungary,Lewis  Hamilton  HAM,Mercedes,1:16.627,
,Great Britain,Max  Verstappen  VER,Red Bull Racing Honda,1:27.097,
,70th Anniversary,Lewis  Hamilton  HAM,Mercedes,1:28.451,
,Spain,Valtteri  Bottas  BOT,Mercedes,1:18.183,
,Belgium,Daniel  Ricciardo  RIC,Renault,1:47.483,
,Italy,Lewis  Hamilton  HAM,Mercedes,1:22.746,
,Tuscany,Lewis  Hamilton  HAM,Mercedes,1:18.833,
,Russia,Valtteri  Bottas  BOT,Mercedes,1:37.030,
,Eifel,Max  Verstappen  VER,Red Bull Racing Honda,1:28.139,
,Portugal,Lewis  Hamilton  HAM,Mercedes,1:18.750,
,Emilia Romagna,Lewis  Hamilton  HAM,Mercedes,1:15.484,
,Turkey,Lando  Norris  NOR,McLaren Renault,1:36.806,
,Bahrain,Max  Verstappen  VER,Red Bull Racing Honda,1:32.014,
