Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Monaco,10 May 1964,Graham  Hill  HIL,BRM,100,2:41:19.500,
,Netherlands,24 May 1964,Jim  Clark  CLA,Lotus Climax,80,2:07:35.400,
,Belgium,14 Jun 1964,Jim  Clark  CLA,Lotus Climax,32,2:06:40.500,
,France,28 Jun 1964,Dan  Gurney  GUR,Brabham Climax,57,2:07:49.100,
,Great Britain,11 Jul 1964,Jim  Clark  CLA,Lotus Climax,80,2:15:07.000,
,Germany,02 Aug 1964,John  Surtees  SUR,Ferrari,15,2:12:04.800,
,Austria,23 Aug 1964,Lorenzo  Bandini  BAN,Ferrari,105,2:06:18.230,
,Italy,06 Sep 1964,John  Surtees  SUR,Ferrari,78,2:10:51.800,
,United States,04 Oct 1964,Graham  Hill  HIL,BRM,110,2:16:38.000,
,Mexico,25 Oct 1964,Dan  Gurney  GUR,Brabham Climax,65,2:09:50.320,
